date,period,year,quarter,realgdp,realcons,realinv,realgovt,realdpi,cpi,m1,tbilrate,unemp,pop,infl,realint,gdp_growth_pct,consumption_share_pct,investment_share_pct,real_rate_gap
1968-12-31,1968Q4,1968,4,4178.293,2623.5,480.998,636.729,2918.4,35.7,198.7,5.85,3.4,201.76,4.51,1.34,0.4332894980057622,62.78879915793364,11.511830309650376,-3.17
1969-03-31,1969Q1,1969,1,4244.1,2652.9,512.686,633.224,2923.4,36.3,200.7,6.08,3.4,202.161,6.67,-0.58,1.574973320444517,62.50795221601753,12.079969840484436,-7.25
1969-06-30,1969Q2,1969,2,4256.46,2669.8,508.601,623.16,2952.9,36.8,201.7,6.49,3.4,202.677,5.47,1.02,0.29122782215309506,62.72348383398412,11.948919994549462,-4.449999999999999
1969-09-30,1969Q3,1969,3,4283.378,2682.7,520.36,623.613,3012.9,37.3,202.9,7.02,3.6,203.302,5.4,1.63,0.6324034526343336,62.63047529309811,12.148355807028938,-3.7700000000000005
1969-12-31,1969Q4,1969,4,4263.261,2704.1,492.334,606.9,3034.9,37.9,206.2,7.64,3.6,203.849,6.38,1.26,-0.469652690003064,63.427972155587,11.548296010964377,-5.12
1970-03-31,1970Q1,1970,1,4256.573,2720.7,476.925,594.888,3050.1,38.5,206.7,6.76,4.2,204.401,6.28,0.47,-0.15687521828947615,63.91761635475298,11.204436056893655,-5.8100000000000005
1970-06-30,1970Q2,1970,2,4264.289,2733.2,478.419,576.257,3103.5,38.9,208.0,6.66,4.8,205.052,4.13,2.52,0.18127258712583583,64.09509299205564,11.219197385543053,-1.6099999999999999
1970-09-30,1970Q3,1970,3,4302.259,2757.1,486.594,567.743,3145.4,39.4,212.9,6.15,5.2,205.788,5.11,1.04,0.8904180743847467,64.08493770365754,11.310197735654686,-4.07
1970-12-31,1970Q4,1970,4,4256.637,2749.6,458.406,564.666,3135.1,39.9,215.5,4.86,5.8,206.466,5.04,-0.18,-1.0604196539538924,64.59559506718567,10.769205830800232,-5.22
1971-03-31,1971Q1,1971,1,4374.016,2802.2,517.935,542.709,3197.3,40.1,220.0,3.65,5.9,207.065,2.0,1.65,2.7575524997785816,64.06469477935151,11.841177535701744,-0.3500000000000001
1971-06-30,1971Q2,1971,2,4398.829,2827.9,533.986,534.905,3245.3,40.6,224.9,4.76,5.9,207.661,4.96,-0.19,0.5672818755121156,64.28756380391236,12.139276157359152,-5.15
1971-09-30,1971Q3,1971,3,4433.943,2850.4,541.01,532.646,3259.7,40.9,227.2,4.7,6.0,208.345,2.94,1.75,0.7982579000002099,64.28589632297934,12.201555139522542,-1.19
1971-12-31,1971Q4,1971,4,4446.264,2897.8,524.085,516.14,3294.2,41.2,230.1,3.87,6.0,208.917,2.92,0.95,0.27787907963634506,65.17381783897672,11.7870868666368,-1.97
1972-03-31,1972Q1,1972,1,4525.769,2936.5,561.147,518.192,3314.9,41.5,235.6,3.55,5.8,209.386,2.9,0.64,1.7881304393981168,64.8840009289029,12.398931540695074,-2.26
1972-06-30,1972Q2,1972,2,4633.101,2992.6,595.495,526.473,3346.1,41.8,238.8,3.86,5.7,209.896,2.88,0.98,2.371574863851844,64.59172808881137,12.85305457403152,-1.9
1972-09-30,1972Q3,1972,3,4677.503,3038.8,603.97,498.116,3414.6,42.2,245.0,4.47,5.6,210.479,3.81,0.66,0.9583646028869186,64.96628649944213,12.912231162652382,-3.15
1972-12-31,1972Q4,1972,4,4754.546,3110.1,607.104,496.54,3550.5,42.7,251.5,5.09,5.3,210.985,4.71,0.38,1.647096752262911,65.41318561225403,12.768916317141532,-4.33
1973-03-31,1973Q1,1973,1,4876.166,3167.0,645.654,504.838,3590.7,43.7,252.7,5.98,5.0,211.42,9.26,-3.28,2.557972937899855,64.94856819886772,13.241017635576801,-12.54
1973-06-30,1973Q2,1973,2,4932.571,3165.4,675.837,497.033,3626.2,44.2,257.5,7.19,4.9,211.909,4.55,2.64,1.156748970400101,64.17343004287217,13.701515903166928,-1.9099999999999997
1973-09-30,1973Q3,1973,3,4906.252,3176.7,649.412,475.897,3644.4,45.6,259.0,8.06,4.8,212.475,12.47,-4.41,-0.5335756951090898,64.7479990836182,13.236417534199221,-16.880000000000003
1973-12-31,1973Q4,1973,4,4953.05,3167.4,674.253,476.174,3688.9,46.8,263.8,7.68,4.8,212.932,10.39,-2.71,0.9538441971590483,63.9484761914376,13.612884990056632,-13.100000000000001
1974-03-31,1974Q1,1974,1,4909.617,3139.7,631.23,491.043,3632.3,48.1,267.2,7.8,5.1,213.361,10.96,-3.16,-0.8768940349885401,63.94999854367458,12.857011045871806,-14.120000000000001
1974-06-30,1974Q2,1974,2,4922.188,3150.6,628.102,490.177,3601.1,49.3,269.3,7.89,5.2,213.854,9.86,-1.96,0.2560484860631762,64.00811996616139,12.760625965525898,-11.82
1974-09-30,1974Q3,1974,3,4873.52,3163.6,592.672,492.586,3612.4,51.0,272.3,8.16,5.6,214.451,13.56,-5.4,-0.9887472806808573,64.91406621907778,12.16106633398447,-18.96
1974-12-31,1974Q4,1974,4,4854.34,3117.3,598.306,496.176,3596.0,52.3,273.9,6.96,6.6,214.931,10.07,-3.11,-0.3935553768118383,64.21676273190589,12.325177058055266,-13.18
1975-03-31,1975Q1,1975,1,4795.295,3143.4,493.212,490.603,3581.9,53.0,276.2,5.53,8.2,215.353,5.32,0.22,-1.2163342493521245,65.55175437590388,10.285331767910003,-5.1000000000000005
1975-06-30,1975Q2,1975,2,4831.942,3195.8,476.085,486.679,3749.3,54.0,283.7,5.57,8.9,215.973,7.48,-1.91,0.7642282695850877,66.13903892058308,9.852870750518115,-9.39
1975-09-30,1975Q3,1975,3,4913.328,3241.4,516.402,498.836,3698.6,54.9,285.4,6.27,8.5,216.587,6.61,-0.34,1.6843331314821297,65.97157771677364,10.51022850499702,-6.95
1975-12-31,1975Q4,1975,4,4977.511,3275.7,530.596,500.141,3736.0,55.8,288.4,5.26,8.3,217.095,6.5,-1.24,1.3063039959880562,65.81000021898494,10.659865945047635,-7.74
1976-03-31,1976Q1,1976,1,5090.663,3341.2,585.541,495.568,3791.0,56.1,294.7,4.91,7.7,217.528,2.14,2.77,2.2732646899223052,65.6338869809296,11.502254225039058,0.6299999999999999
1976-06-30,1976Q2,1976,2,5128.947,3371.8,610.513,494.532,3822.2,57.0,297.2,5.28,7.6,218.035,6.37,-1.09,0.7520434961025835,65.74058963760008,11.903281511780099,-7.46
1976-09-30,1976Q3,1976,3,5154.072,3407.5,611.646,493.141,3856.7,57.9,302.0,5.05,7.7,218.644,6.27,-1.22,0.4898666334434809,66.11277452080607,11.867238175950975,-7.489999999999999
1976-12-31,1976Q4,1976,4,5191.499,3451.8,615.898,494.415,3884.4,58.7,308.3,4.57,7.8,219.179,5.49,-0.92,0.7261637012443645,66.4894667224245,11.863586990963498,-6.41
1977-03-31,1977Q1,1977,1,5251.762,3491.3,646.198,498.509,3887.5,60.0,316.0,4.6,7.5,219.684,8.76,-4.16,1.1608015334299449,66.47864088281229,12.304403741068235,-12.92
1977-06-30,1977Q2,1977,2,5356.131,3510.6,696.141,506.695,3931.8,60.8,320.2,5.06,7.1,220.239,5.3,-0.24,1.987313971958371,65.54357987136609,12.997086889771738,-5.54
1977-09-30,1977Q3,1977,3,5451.921,3544.1,734.078,509.605,3990.8,61.6,326.4,5.82,6.9,220.904,5.23,0.59,1.7884177963533698,65.00644451744623,13.464575146998644,-4.640000000000001
1977-12-31,1977Q4,1977,4,5450.793,3597.5,713.356,504.584,4071.2,62.7,334.4,6.2,6.6,221.477,7.08,-0.88,-0.020689954971842006,65.99957107158538,13.087196670282655,-7.96
1978-03-31,1978Q1,1978,1,5469.405,3618.5,727.504,506.314,4096.4,63.9,339.9,6.34,6.3,221.991,7.58,-1.24,0.3414549039011394,66.15893319291587,13.301337165560057,-8.82
1978-06-30,1978Q2,1978,2,5684.569,3695.9,777.454,518.366,4143.4,65.5,347.6,6.72,6.0,222.585,9.89,-3.18,3.9339562530110728,65.0163627180882,13.67656897119201,-13.07
1978-09-30,1978Q3,1978,3,5740.3,3711.4,801.452,520.199,4177.1,67.1,353.3,7.64,6.0,223.271,9.65,-2.01,0.980390949604093,64.65515739595492,13.961848683866695,-11.66
1978-12-31,1978Q4,1978,4,5816.222,3741.3,819.689,524.782,4209.8,68.5,358.6,9.02,5.9,223.865,8.26,0.76,1.322613800672423,64.32526131224016,14.093151877627779,-7.5
1979-03-31,1979Q1,1979,1,5825.949,3760.2,819.556,525.524,4255.9,70.6,368.0,9.42,5.9,224.438,12.08,-2.66,0.16723914596106226,64.54227457191953,14.067339072140866,-14.74
1979-06-30,1979Q2,1979,2,5831.418,3758.0,817.66,532.04,4226.1,73.0,377.2,9.3,5.7,225.055,13.37,-4.07,0.09387311835376,64.4440168754838,14.021632474296988,-17.439999999999998
1979-09-30,1979Q3,1979,3,5873.335,3794.9,801.742,531.232,4250.3,75.2,380.8,10.49,5.9,225.801,11.88,-1.38,0.7188131600238679,64.61235396925257,13.65054096182152,-13.260000000000002
1979-12-31,1979Q4,1979,4,5889.495,3805.0,786.817,531.126,4284.3,78.0,385.8,11.94,5.9,226.451,14.62,-2.68,0.27514180614591766,64.60655794766784,13.35966835866233,-17.3
1980-03-31,1980Q1,1980,1,5908.467,3798.4,781.114,548.115,4296.2,80.9,383.8,13.75,6.3,227.061,14.6,-0.85,0.32213288236087045,64.28740314535057,13.220248162509836,-15.45
1980-06-30,1980Q2,1980,2,5787.373,3712.2,710.64,561.895,4236.1,82.6,394.0,7.9,7.3,227.726,8.32,-0.42,-2.04949947253662,64.14309221126753,12.279146341526632,-8.74
1980-09-30,1980Q3,1980,3,5776.617,3752.0,656.477,554.292,4279.7,84.7,409.0,10.34,7.7,228.417,10.04,0.3,-0.18585289042194475,64.95151054674389,11.36438507174701,-9.739999999999998
1980-12-31,1980Q4,1980,4,5883.46,3802.0,723.22,556.13,4368.1,87.2,411.3,14.75,7.4,228.937,11.64,3.11,1.8495773564354279,64.6218381700564,12.292426565320406,-8.530000000000001
1981-03-31,1981Q1,1981,1,6005.717,3822.8,795.091,567.618,4358.1,89.1,427.4,13.95,7.4,229.403,8.62,5.32,2.077977924554597,63.6526829352765,13.238902199354383,-3.299999999999999
1981-06-30,1981Q2,1981,2,5957.795,3822.8,757.24,584.54,4358.6,91.5,426.9,15.33,7.4,229.966,10.63,4.69,-0.7979396964592156,64.1646783751371,12.710071427432466,-5.94
1981-09-30,1981Q3,1981,3,6030.184,3838.3,804.242,583.89,4455.4,93.4,428.4,14.58,7.4,230.641,8.22,6.36,1.2150300572611128,63.651457401631525,13.336939635672806,-1.8600000000000003
1981-12-31,1981Q4,1981,4,5955.062,3809.3,773.053,590.125,4464.4,94.4,442.7,11.33,8.2,231.157,4.26,7.07,-1.2457662983418105,63.96742804692882,12.981443350211972,2.8100000000000005
1982-03-31,1982Q1,1982,1,5857.333,3833.9,692.514,591.043,4469.6,95.0,447.1,12.95,8.8,231.645,2.53,10.42,-1.6411080186906624,65.45470438508448,11.82302594030423,7.890000000000001
1982-06-30,1982Q2,1982,2,5889.074,3847.7,691.9,596.403,4500.8,97.5,448.0,11.97,9.4,232.188,10.39,1.58,0.5419019202083986,65.3362481096349,11.748875969295003,-8.81
1982-09-30,1982Q3,1982,3,5866.37,3877.2,683.825,605.37,4520.6,98.1,464.5,8.1,9.9,232.816,2.45,5.65,-0.3855275039844952,66.09197851482263,11.656697412539613,3.2
1982-12-31,1982Q4,1982,4,5871.001,3947.9,622.93,623.307,4536.4,97.9,477.2,7.96,10.7,233.322,-0.82,8.77,0.07894149192773092,67.24406962288032,10.610286048324637,9.59
1983-03-31,1983Q1,1983,1,5944.02,3986.6,645.11,630.873,4572.2,98.8,493.2,8.22,10.4,233.781,3.66,4.56,1.243723174293443,67.06908792366109,10.853092688113431,0.8999999999999995
1983-06-30,1983Q2,1983,2,6077.619,4065.7,707.372,644.322,4605.5,99.8,507.8,8.69,10.1,234.307,4.03,4.66,2.2476202973744863,66.89626315831907,11.638965851594186,0.6299999999999999
1983-09-30,1983Q3,1983,3,6197.468,4137.6,754.937,662.412,4674.7,100.8,517.2,8.99,9.4,234.907,3.99,5.01,1.9719729058369717,66.7627489161703,12.181377943379458,1.0199999999999996
1983-12-31,1983Q4,1983,4,6325.574,4203.2,834.427,639.197,4771.1,102.1,525.1,8.89,8.5,235.385,5.13,3.76,2.067069971155955,66.44772474403113,13.191324613386865,-1.37
1984-03-31,1984Q1,1984,1,6448.264,4239.2,921.763,644.635,4875.4,103.3,535.0,9.43,7.9,235.839,4.67,4.76,1.9395868264287186,65.74172521472445,14.294746617073992,0.08999999999999986
1984-06-30,1984Q2,1984,2,6559.594,4299.9,952.841,664.839,4959.4,104.1,540.9,9.94,7.5,236.348,3.09,6.85,1.7265111974323677,65.5513130843159,14.525914256278666,3.76
1984-09-30,1984Q3,1984,3,6623.343,4333.0,974.989,662.294,5036.6,105.1,543.7,10.19,7.4,236.976,3.82,6.37,0.9718436842280243,65.42013602496503,14.720496885032228,2.5500000000000003
1984-12-31,1984Q4,1984,4,6677.264,4390.1,958.993,684.282,5084.5,105.7,557.0,8.14,7.3,237.468,2.28,5.87,0.8141055053316748,65.7469885869422,14.362065061378434,3.5900000000000003
1985-03-31,1985Q1,1985,1,6740.275,4464.6,927.375,691.613,5072.0,107.0,570.4,8.25,7.3,237.9,4.89,3.36,0.9436649501951555,66.23765350820257,13.758711625267516,-1.5299999999999998
1985-06-30,1985Q2,1985,2,6797.344,4505.2,943.383,708.524,5172.7,107.7,589.1,7.17,7.3,238.466,2.61,4.56,0.8466865224341813,66.27882890729084,13.878700268810878,1.9499999999999997
1985-09-30,1985Q3,1985,3,6903.523,4590.8,932.959,732.305,5140.7,108.5,607.8,7.13,7.2,239.113,2.96,4.17,1.5620660069580072,66.49938009911752,13.514244828328955,1.21
1985-12-31,1985Q4,1985,4,6955.918,4600.9,969.434,732.026,5193.9,109.9,621.4,7.14,7.0,239.638,5.13,2.01,0.7589603163486114,66.14367794444959,13.936823292051459,-3.12
1986-03-31,1986Q1,1986,1,7022.757,4639.3,967.442,728.125,5255.8,108.7,641.0,6.56,7.0,240.094,-4.39,10.95,0.9608940185896309,66.0609501368195,13.775814826000673,15.34
1986-06-30,1986Q2,1986,2,7050.969,4688.7,945.972,751.334,5315.5,109.5,670.3,6.06,7.2,240.651,2.93,3.13,0.4017225713491168,66.49724314487838,13.416198539519886,0.19999999999999973
1986-09-30,1986Q3,1986,3,7118.95,4770.7,916.315,779.77,5343.3,110.2,694.9,5.31,7.0,241.274,2.55,2.76,0.9641369859944016,67.01409617991418,12.871490879975278,0.20999999999999996
1986-12-31,1986Q4,1986,4,7153.359,4799.4,917.736,767.671,5346.5,111.4,730.2,5.44,6.8,241.784,4.33,1.1,0.4833437515364025,67.0929559106428,12.829441385508542,-3.23
1987-03-31,1987Q1,1987,1,7193.019,4792.1,945.776,772.247,5379.4,112.7,743.9,5.61,6.6,242.252,4.64,0.97,0.5544248513180916,66.62153957886112,13.14852636980383,-3.67
1987-06-30,1987Q2,1987,2,7269.51,4856.3,947.1,782.962,5321.0,113.8,743.0,5.67,6.3,242.804,3.89,1.79,1.063406060793115,66.8036772767353,13.028388433333197,-2.1
1987-09-30,1987Q3,1987,3,7332.558,4910.4,948.055,783.804,5416.2,115.0,756.2,6.19,6.0,243.446,4.2,1.99,0.8672936690368394,66.96708024675699,12.929389716385467,-2.21
1987-12-31,1987Q4,1987,4,7458.022,4922.2,1021.98,795.467,5493.1,116.0,756.2,5.76,5.9,243.981,3.46,2.29,1.7110536323067693,65.99873263983399,13.703097148278726,-1.17
1988-03-31,1988Q1,1988,1,7496.6,5004.4,964.398,773.851,5562.1,117.2,768.1,5.76,5.7,244.445,4.12,1.64,0.5172685197228022,66.75559587012778,12.864471893925245,-2.4800000000000004
1988-06-30,1988Q2,1988,2,7592.881,5040.8,987.858,765.98,5614.3,118.5,781.4,6.48,5.5,245.021,4.41,2.07,1.2843288957660848,66.38850259868421,13.010318481219446,-2.3400000000000003
1988-09-30,1988Q3,1988,3,7632.082,5080.6,994.204,760.245,5657.5,119.9,783.3,7.22,5.5,245.693,4.7,2.52,0.5162862423367276,66.56899126607917,13.026642009349478,-2.18
1988-12-31,1988Q4,1988,4,7733.991,5140.4,1007.371,783.065,5708.5,121.2,785.7,8.03,5.3,246.224,4.31,3.72,1.3352712929447064,66.46503726213282,13.02524143097658,-0.5899999999999994
1989-03-31,1989Q1,1989,1,7806.603,5159.3,1045.975,767.024,5773.4,123.1,779.2,8.67,5.2,246.721,6.22,2.44,0.9388684315769114,66.08892497799619,13.39859347273071,-3.78
1989-06-30,1989Q2,1989,2,7865.016,5182.4,1033.753,784.275,5749.8,124.5,777.8,8.15,5.2,247.342,4.52,3.63,0.748251191971705,65.89179220995864,13.143685912399924,-0.8899999999999997
1989-09-30,1989Q3,1989,3,7927.393,5236.1,1021.604,791.819,5787.0,125.4,786.6,7.76,5.3,248.067,2.88,4.88,0.7930943814990377,66.05071806077989,12.887010900052514,2.0
1989-12-31,1989Q4,1989,4,7944.697,5261.7,1011.119,787.844,5831.3,127.5,795.4,7.65,5.4,248.659,6.64,1.01,0.21828109190500378,66.22908337473412,12.726967435007275,-5.63
1990-03-31,1990Q1,1990,1,8027.693,5303.3,1021.07,799.681,5875.1,128.9,806.2,7.8,5.3,249.306,4.37,3.44,1.0446716847728688,66.06256616938391,12.719345395993594,-0.9300000000000002
1990-06-30,1990Q2,1990,2,8059.598,5320.8,1021.36,800.639,5913.9,130.5,810.1,7.7,5.3,250.132,4.93,2.76,0.39743672310339484,66.01818105568044,12.672592355102575,-2.17
1990-09-30,1990Q3,1990,3,8059.476,5341.0,997.319,793.513,5918.1,133.4,819.8,7.33,5.7,251.057,8.79,-1.46,-0.001513723141033374,66.26981704517763,12.374489358861544,-10.25
1990-12-31,1990Q4,1990,4,7988.864,5299.5,934.248,800.525,5878.2,134.7,827.2,6.67,6.1,251.889,3.88,2.79,-0.8761363642003528,66.33608983705318,11.694378574976367,-1.0899999999999999
1991-03-31,1991Q1,1991,1,7950.164,5284.4,896.21,806.775,5896.3,135.1,843.2,5.83,6.6,252.643,1.19,4.65,-0.4844243186515662,66.46906906574506,11.272849214179734,3.4600000000000004
1991-06-30,1991Q2,1991,2,8003.822,5324.7,891.704,809.081,5941.1,136.2,861.5,5.54,6.8,253.493,3.24,2.29,0.6749294731530187,66.52696674163919,11.140977398048081,-0.9500000000000002
1991-09-30,1991Q3,1991,3,8037.538,5345.0,913.904,793.987,5953.6,137.2,878.0,5.18,6.9,254.435,2.93,2.25,0.4212487484104299,66.50046320154257,11.370447019970543,-0.6800000000000002
1991-12-31,1991Q4,1991,4,8069.046,5342.6,948.891,778.378,5992.4,138.3,910.4,4.14,7.1,255.214,3.19,0.95,0.3920105883169711,66.21104898893871,11.759642961509947,-2.24
1992-03-31,1992Q1,1992,1,8157.616,5434.5,927.796,778.568,6082.9,139.4,943.8,3.88,7.4,255.992,3.17,0.71,1.0976514447928576,66.6187278244036,11.373371828240016,-2.46
1992-06-30,1992Q2,1992,2,8244.294,5466.7,988.912,777.762,6129.5,140.5,963.2,3.5,7.6,256.894,3.14,0.36,1.0625408207495912,66.30889194393116,11.99510837434958,-2.7800000000000002
1992-09-30,1992Q3,1992,3,8329.361,5527.1,999.135,786.639,6160.6,141.7,1003.8,2.97,7.6,257.861,3.4,-0.44,1.031828801835566,66.35683097418877,11.995337937688136,-3.84
1992-12-31,1992Q4,1992,4,8417.016,5594.6,1030.758,787.064,6248.2,142.8,1030.4,3.12,7.4,258.679,3.09,0.02,1.0523616397464242,66.46773630939991,12.24612142830666,-3.07
